Architecture,Critical SDC,Safe SDC,Masked
Baseline,8.517044209351901,90.20883390114159,1.274121889506505
Adaptive Clipper,8.37872278097842,90.5632140415975,1.0580631774240796
Ranger,8.380507757068413,90.17684446511406,1.442647777817527
Swap ReLU6,7.8228781333264354,91.14904157073751,1.0280802959360529
Median Filter,,,
