Architecture,Critical SDC,Safe SDC,Masked
Baseline,8.431600118089897,60.160288582183185,31.40811129972692
Adaptive Clipper,8.175815047460823,58.873195135382346,32.95098981715683
Ranger,7.269857206604194,56.42160865684962,36.308534136546186
Swap ReLU6,,,
Median Filter,,,
