Architecture,Critical SDC,Safe SDC,Masked
Baseline,3.988798782382777,85.90229325268497,11.133852759455173
Adaptive Clipper,2.860486144653394,86.36229598238509,11.865373234319923
Ranger,2.852189532450115,87.01535481752609,11.011424105750853
Swap ReLU6,3.86676202150738,86.1607388286924,11.11431062109881
Median Filter,,,
