Architecture,Critical SDC,Safe SDC,Masked
Baseline,9.879520556418468,89.08009511896744,1.0403843246140947
Adaptive Clipper,8.873701236395537,89.64627025248787,1.480028511116594
Ranger,8.684280505524029,90.42551470789813,0.8902047865778435
Swap ReLU6,3.5185185185185186,64.0997203717411,32.38176110974038
Median Filter,1.0633540996784565,58.60271804662379,40.33392785369775
